http://www.imfdb.org/wiki/Die_Hard_2, Die Hard 2,,,
http://www.imfdb.org/wiki/Die_Hard_with_a_Vengeance, Die Hard with a Vengeance,,,
http://www.imfdb.org/wiki/Digital_Man, Digital Man,,,
http://www.imfdb.org/wiki/Diplomatic_Siege, Diplomatic Siege,,,
http://www.imfdb.org/wiki/Direct_Action, Direct Action,,,
http://www.imfdb.org/wiki/Direct_Contact, Direct Contact,,,
http://www.imfdb.org/wiki/Direct_Hit, Direct Hit,,,
http://www.imfdb.org/wiki/Dirty_Harry, Dirty Harry,,,
http://www.imfdb.org/wiki/District_13:_Ultimatum, District 13: Ultimatum,,,
http://www.imfdb.org/wiki/District_9, District 9,,,
http://www.imfdb.org/wiki/Divergence, Divergence,,,
http://www.imfdb.org/wiki/Divergent, Divergent,,,
http://www.imfdb.org/wiki/Dobermann, Dobermann,,,
http://www.imfdb.org/wiki/Dog_Day_(Canicule), Dog Day (Canicule),,,
http://www.imfdb.org/wiki/Domino, Domino,,,
http://www.imfdb.org/wiki/Doom, Doom,,,
http://www.imfdb.org/wiki/Doomsday, Doomsday,,,
http://www.imfdb.org/wiki/Double_Impact, Double Impact,,,
http://www.imfdb.org/wiki/Double_Tap, Double Tap,,,
http://www.imfdb.org/wiki/Double_Trouble, Double Trouble,,,
"http://www.imfdb.org/wiki/Double,_The", Double, The,,
http://www.imfdb.org/wiki/Downtown, Downtown,,,
http://www.imfdb.org/wiki/Dragon_Squad_(2005), Dragon Squad (2005),,,
http://www.imfdb.org/wiki/Drive_(2011), Drive (2011),,,
http://www.imfdb.org/wiki/Drive_Angry, Drive Angry,,,
http://www.imfdb.org/wiki/Driven_to_Kill, Driven to Kill,,,
http://www.imfdb.org/wiki/Drop_Zone, Drop Zone,,,
http://www.imfdb.org/wiki/Drug_Runners, Drug Runners,,,
http://www.imfdb.org/wiki/Eastern_Condors, Eastern Condors,,,
http://www.imfdb.org/wiki/Edison, Edison,,,
http://www.imfdb.org/wiki/El_Gringo_(2012), El Gringo (2012),,,
http://www.imfdb.org/wiki/El_Infierno, El Infierno,,,
http://www.imfdb.org/wiki/Elektra, Elektra,,,
"http://www.imfdb.org/wiki/Eleventh_Hour,_The", Eleventh Hour, The,,
http://www.imfdb.org/wiki/Elite_Squad, Elite Squad,,,
http://www.imfdb.org/wiki/Elite_Squad:_The_Enemy_Within, Elite Squad: The Enemy Within,,,
"http://www.imfdb.org/wiki/Elusive_Avengers_(Neulovimye_mstiteli),_The", Elusive Avengers (Neulovimye mstiteli), The,,
http://www.imfdb.org/wiki/End_Game, End Game,,,
http://www.imfdb.org/wiki/End_of_Days, End of Days,,,
"http://www.imfdb.org/wiki/End_of_the_Emperor_of_the_Taiga_(Konets_imperatora_taygi),_The", End of the Emperor of the Taiga (Konets imperatora taygi), The,,
http://www.imfdb.org/wiki/Enemies_Closer, Enemies Closer,,,
http://www.imfdb.org/wiki/Enemy, Enemy,,,
"http://www.imfdb.org/wiki/Enforcer,_The_(1976)", Enforcer, The (1976),,
http://www.imfdb.org/wiki/Enter_the_Ninja, Enter the Ninja,,,
"http://www.imfdb.org/wiki/Equalizer_2,_The", Equalizer 2, The,,
http://www.imfdb.org/wiki/Equalizer_2000, Equalizer 2000,,,
"http://www.imfdb.org/wiki/Equalizer,_The_(2014)", Equalizer, The (2014),,
http://www.imfdb.org/wiki/Erased, Erased,,,
http://www.imfdb.org/wiki/Eraser, Eraser,,,
http://www.imfdb.org/wiki/Escape_2000, Escape 2000,,,
http://www.imfdb.org/wiki/Escape_Plan, Escape Plan,,,
http://www.imfdb.org/wiki/Escape_Plan_2:_Hades, Escape Plan 2: Hades,,,
http://www.imfdb.org/wiki/Even_Angels_Eat_Beans, Even Angels Eat Beans,,,
http://www.imfdb.org/wiki/Everly, Everly,,,
http://www.imfdb.org/wiki/Everyman%27s_War, Everyman's War,,,
"http://www.imfdb.org/wiki/Evil_That_Men_Do,_The", Evil That Men Do, The,,
http://www.imfdb.org/wiki/Executive_Decision, Executive Decision,,,
http://www.imfdb.org/wiki/Executive_Protection, Executive Protection,,,
http://www.imfdb.org/wiki/Exiled_(2006), Exiled (2006),,,
http://www.imfdb.org/wiki/Exit_Wounds, Exit Wounds,,,
"http://www.imfdb.org/wiki/Expendables_2,_The", Expendables 2, The,,
"http://www.imfdb.org/wiki/Expendables_3,_The", Expendables 3, The,,
